has_geo,agency,route,code,name_ja,name_kana,name_en,color,type,through_group
x,TokyoMetro,TokyoMetro.Chiyoda,C,千代田線,ちよだせん,Chiyoda Line,00BB85,2,Chiyoda-Joban
x,TokyoMetro,TokyoMetro.Fukutoshin,F,副都心線,ふくとしんせん,Fukutoshin Line,9C5E31,2,Yurakucho-Fukutoshin
x,TokyoMetro,TokyoMetro.Ginza,G,銀座線,ぎんざせん,Ginza Line,FF9500,2,
x,TokyoMetro,TokyoMetro.Hanzomon,Z,半蔵門線,はんぞうもんせん,Hanzōmon Line,8F76D6,2,Hanzomon-Hibiya
x,TokyoMetro,TokyoMetro.Hibiya,H,日比谷線,ひびやせん,Hibiya Line,B5B5AC,2,Hanzomon-Hibiya
x,TokyoMetro,TokyoMetro.Marunouchi,M,丸ノ内線,まるのうちせん,Marunouchi Line,F62E36,2,Marunouchi
x,TokyoMetro,TokyoMetro.MarunouchiBranch,Mb,丸ノ内線分岐線,まるのうちせんぶんきせん,Marunouchi Branch Line,F62E36,2,Marunouchi
x,TokyoMetro,TokyoMetro.Namboku,N,南北線,なんぼくせん,Namboku Line,00AC9B,2,Namboku-Mita
x,TokyoMetro,TokyoMetro.Tozai,T,東西線,とうざいせん,Tōzai Line,009BBF,2,Main
x,TokyoMetro,TokyoMetro.Yurakucho,Y,有楽町線,ゆうらくちょうせん,Yūrakuchō Line,C1A470,2,Yurakucho-Fukutoshin
x,Toei,Toei.Asakusa,A,浅草線,あさくさせん,Asakusa Line,EF463C,2,Asakusa
x,Toei,Toei.Mita,I,三田線,みたせん,Mita Line,0072BC,2,Namboku-Mita
x,Toei,Toei.Oedo,E,大江戸線,おおえどせん,Ōedo Line,CE1C64,2,
x,Toei,Toei.Shinjuku,S,新宿線,しんじゅくせん,Shinjuku Line,ABBA41,2,Shinjuku-Keio
x,Toei,Toei.Arakawa,SA,東京さくらトラム,とうきょうさくらとらむ,Tokyo Sakura Tram,D04172,0,
x,Toei,Toei.NipporiToneri,NT,日暮里・舎人ライナー,にっぽり・とねりらいなー,Nippori-Toneri Liner,85CA58,2,
x,JR-East,JR-East.ChuoRapid,JC,中央線快速,ちゅうおうせんかいそく,Chūō Rapid Line,FE642E,2,Main
x,JR-East,JR-East.ChuoSobuLocal,JB,中央・総武緩行線,ちゅうおう・そうぶかんこうせん,Chūō-Sōbu Line,FFD700,2,Main
x,JR-East,JR-East.Hachiko,,八高線,はちこうせん,Hachikō Line,9ACD32,2,Main
x,JR-East,JR-East.Ito,,伊東線,いとうせん,Itō Line,FFA500,2,Main
x,JR-East,JR-East.Itsukaichi,JC,五日市線,いつかいちせん,Itsukaichi Line,FF4500,2,Main
x,JR-East,JR-East.Joban,,常磐線,じょうばんせん,Jōban Line,0000FF,2,Main
x,JR-East,JR-East.JobanLocal,JL,常磐線各駅停車,じょうばんせんかくえきていしゃ,Jōban Local Line,808080,2,Chiyoda-Joban
x,JR-East,JR-East.JobanRapid,JJ,常磐線快速,じょうばんせんかいそく,Jōban Rapid Line,3CB371,2,Main
x,JR-East,JR-East.Kashima,,鹿島線,かしません,Kashima Line,00FF00,2,Main
x,JR-East,JR-East.Kawagoe,,川越線,かわごえせん,Kawagoe Line,2E8B57,2,Main
x,JR-East,JR-East.KeihinTohokuNegishi,JK,京浜東北線・根岸線,けいひんとうほくせん・ねぎしせん,Keihin-Tōhoku/Negishi Line,00BFFF,2,Tohoku-Neigishi-Yokohama
x,JR-East,JR-East.Keiyo,JE,京葉線,けいようせん,Keiyō Line,DC143C,2,Main
x,JR-East,JR-East.Kururi,,久留里線,くるりせん,Kururi Line,00CED1,2,
x,JR-East,JR-East.Musashino,JM,武蔵野線,むさしのせん,Musashino Line,FF4500,2,Main
x,JR-East,JR-East.Nambu,JN,南武線,なんぶせん,Nambu Line,FFFF00,2,Nambu
x,JR-East,JR-East.NambuBranch,JN,南武線浜川崎支線,なんぶせんはまかわさきしせん,Nambu Line Hama-Kawasaki Branch,FFFF00,2,Nambu
x,JR-East,JR-East.Narita,,成田線,なりたせん,Narita Line,2E8B57,2,Main
x,JR-East,JR-East.NaritaAbikoBranch,,成田線我孫子支線,なりたせんあびこしせん,Narita Line Abiko Branch,2E8B57,2,Main
x,JR-East,JR-East.NaritaAirportBranch,,成田線空港支線,なりたせんくうこうしせん,Narita Line Airport Branch,2E8B57,2,Main
x,JR-East,JR-East.Ome,JC,青梅線,おうめせん,Ōme Line,FF4500,2,Main
x,JR-East,JR-East.Sagami,,相模線,さがみせん,Sagami Line,339999,2,Tohoku-Neigishi-Yokohama
x,JR-East,JR-East.SaikyoKawagoe,JA,埼京線・川越線,さいきょうせん・かわごえせん,Saikyō/Kawagoe Line,2E8B57,2,Main
x,JR-East,JR-East.ShonanShinjuku,JS,湘南新宿ライン,しょうなんしんじゅくらいん,Shōnan-Shinjuku Line,E21F26,2,Main
x,JR-East,JR-East.Sobu,,総武線,そうぶせん,Sōbu Line,0070B9,2,Main
x,JR-East,JR-East.SobuRapid,JO,総武線快速,そうぶせんかいそく,Sōbu Rapid Line,0070B9,2,Main
x,JR-East,JR-East.SotetsuDirect,,JR相鉄直通線,JRそうてつちょくつうせん,JR-Sotetsu Direct Connection Line,00B48D,2,Main
x,JR-East,JR-East.Sotobo,,外房線,そとぼうせん,Sotobō Line,FF4500,2,Main
x,JR-East,JR-East.Takasaki,JU,高崎線,たかさきせん,Takasaki Line,FFA500,2,Main
x,JR-East,JR-East.Togane,,東金線,とうがねせん,Tōgane Line,FF8C00,2,Main
x,JR-East,JR-East.Tokaido,JT,東海道線,とうかいどうせん,Tōkaidō Line,FFA500,2,Main
x,JR-East,JR-East.Tsurumi,JI,鶴見線,つるみせん,Tsurumi Line,FFD700,2,Tsurumi
x,JR-East,JR-East.TsurumiOkawaBranch,JI,鶴見線大川支線,つるみせんおおかわしせん,Tsurumi Line Ōkawa Branch,FFD700,2,Tsurumi
x,JR-East,JR-East.TsurumiUmiShibauraBranch,JI,鶴見線海芝浦支線,つるみせんうみしばうらしせん,Tsurumi Line Umi-Shibaura Branch,FFD700,2,Tsurumi
x,JR-East,JR-East.Uchibo,,内房線,うちぼうせん,Uchibō Line,00BF00,2,Main
x,JR-East,JR-East.Utsunomiya,JU,宇都宮線,うつのみやせん,Utsunomiya Line,FFA500,2,Main
x,JR-East,JR-East.Yamanote,JY,山手線,やまのてせん,Yamanote Line,9ACD32,2,Yamanote
x,JR-East,JR-East.Yokohama,JH,横浜線,よこはません,Yokohama Line,7FC342,2,Tohoku-Neigishi-Yokohama
x,JR-East,JR-East.Yokosuka,JO,横須賀線,よこすかせん,Yokosuka Line,0070B9,2,Main
 ,JR-East,JR-East.LENaritaExpress,N'EX,成田エクスプレス,なりたえくすぷれす,Narita Express,D80C18,2,
x,TWR,TWR.Rinkai,R,りんかい線,りんかいせん,Rinkai Line,00418E,2,Main
