sta_id,name_ja,name_en
Abiko,我孫子,Abiko
AdachiOdai,足立小台,Adachi-odai
Ageo,上尾,Ageo
Aihara,相原,Aihara
Ajiki,安食,Ajiki
Ajiro,網代,Ajiro
Akabane,赤羽,Akabane
Akabanebashi,赤羽橋,Akabanebashi
AkabaneIwabuchi,赤羽岩淵,Akabane-iwabuchi
AkadoShogakkomae,赤土小学校前,Akado-shogakkomae
Akasaka,赤坂,Akasaka
AkasakaMitsuke,赤坂見附,Akasaka-mitsuke
Akatsuka,赤塚,Akatsuka
Akebonobashi,曙橋,Akebonobashi
Akigawa,秋川,Akigawa
Akihabara,秋葉原,Akihabara
Akishima,昭島,Akishima
AnamoriInari,穴守稲荷,Anamori-inari
Anegasaki,姉ケ崎,Anegasaki
Anjinzuka,安針塚,Anjinzuka
Anzen,安善,Anzen
Aohori,青堀,Aohori
Aoi,青井,Aoi
AomonoYokocho,青物横丁,Aomono-yokochō
Aoto,青砥,Aoto
AoyamaItchome,青山一丁目,Aoyama-itchome
ArakawaItchumae,荒川一中前,Arakawa-itchumae
Arakawakuyakushomae,荒川区役所前,Arakawa-kuyakushomae
ArakawaNanachome,荒川七丁目,Arakawa-nanachome
ArakawaNichome,荒川二丁目,Arakawa-nichome
Arakawaoki,荒川沖,Arakawaoki
ArakawaShakomae,荒川車庫前,Arakawa-shakomae
ArakawaYuenchimae,荒川遊園地前,Arakawa-yuenchimae
Araki,新木,Araki
Asagaya,阿佐ケ谷,Asagaya
Asahi,旭,Asahi
Asakusa,浅草,Asakusa
Asakusabashi,浅草橋,Asakusabashi
Asano,浅野,Asano
Asukayama,飛鳥山,Asukayama
Atami,熱海,Atami
Atsugi,厚木,Atsugi
AwaAmatsu,安房天津,Awa-Amatsu
Awajicho,淡路町,Awajicho
AwaKamogawa,安房鴨川,Awa-Kamogawa
AwaKatsuyama,安房勝山,Awa-Katsuyama
AwaKominato,安房小湊,Awa-Kominato
Ayase,綾瀬,Ayase
AzabuJuban,麻布十番,Azabu-juban
Azamino,あざみ野,Azamino
Bakurocho,馬喰町,Bakurocho
BakuroYokoyama,馬喰横山,Bakuro-yokoyama
BampakuKinenKoen,万博記念公園,Bampaku-kinenkōen
Banda,番田,Banda
Bandobashi,阪東橋,Bandobashi
BarakiNakayama,原木中山,Baraki-nakayama
Bentembashi,弁天橋,Bentembashi
Bubaigawara,分倍河原,Bubaigawara
Byobugaura,屏風浦,Byōbugaura
CenterKita,センター北,Center Kita
CenterMinami,センター南,Center Minami
Chiba,千葉,Chiba
Chibaminato,千葉みなと,Chibaminato
Chigasaki,茅ケ崎,Chigasaki
ChikatetsuAkatsuka,地下鉄赤塚,Chikatetsu-akatsuka
ChikatetsuNarimasu,地下鉄成増,Chikatetsu-narimasu
Chikura,千倉,Chikura
Chitose,千歳,Chitose
